0          EXTRATO C/C    92702067007280                                    041BERGS          10120201600BPI                                                                                 04041000001
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          009731021209000000000000106965C                             2590                                                   04041000060
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          009739021209000000000000000055C                             2590                                                   04041000061
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          009747021209000000000000001500C                             2590                                                   04041000062
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          012743021209000000000000340000C                             2965                                                   04041000063
102966621680009990009       400060091230012010822DEP.DINHEIRO-IA          012804021209000000000000325000C                             2965                                                   04041000064
102966621680009990009       400060091230011010021CHEQUE POR CAIXA         538518021209000000000008678323D                             3011                                                   04041000065
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010001021209000000000000015396D                             7390                                                   04041000066
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010002021209000000000000028739D                             7390                                                   04041000067
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010003021209000000000000034566D                             7390                                                   04041000068
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010004021209000000000000021400D                             7390                                                   04041000069
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010005021209000000000000013300D                             7390                                                   04041000070
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010006021209000000000000010000D                             7390                                                   04041000071
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010007021209000000000000002430D                             7390                                                   04041000072
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010008021209000000000000021254D                             7390                                                   04041000073
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010009021209000000000000011500D                             7390                                                   04041000074
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010010021209000000000000004416D                             7390                                                   04041000075
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010011021209000000000000008800D                             7390                                                   04041000076
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010012021209000000000000005500D                             7390                                                   04041000077
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010013021209000000000000026327D                             7390                                                   04041000078
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010014021209000000000000013975D                             7390                                                   04041000079
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010015021209000000000000012250D                             7390                                                   04041000080
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010016021209000000000000015000D                             7390                                                   04041000081
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010017021209000000000000025560D                             7390                                                   04041000082
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010018021209000000000000010000D                             7390                                                   04041000083
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010019021209000000000000014000D                             7390                                                   04041000084
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010020021209000000000000030000D                             7390                                                   04041000085
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010021021209000000000000007000D                             7390                                                   04041000086
102966621680009990009       400060091230011040327EST.CH.DEP.MENOR         010022021209000000000000001825D                             7390                                                   04041000087
